date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:41:32	71/71	---M--	200	added ('OK')	text/plain	etag:%2247-510a52cfc7c57%22	http://tellthetales.com/robots.txt		(from )
10:41:32	12604/12604	---M--	200	added ('OK')	text/html	etag:%22313c-510a52cf75bc0%22	http://tellthetales.com/	./site/tellthetales.com/index.html	(from )
10:41:32	8230/8230	---M--	200	added ('OK')	image/jpeg	etag:%222026-4ea882f60170c%22	http://tellthetales.com/uploads/2/9/1/5/2915873/3541580.jpg?125	./site/tellthetales.com/uploads/2/9/1/5/2915873/35415803def.jpg	(from http://tellthetales.com/)
10:41:33	8779/8779	---M--	200	added ('OK')	image/jpeg	etag:%22224b-4ea882f715d2c%22	http://tellthetales.com/uploads/2/9/1/5/2915873/567288.jpg?108	./site/tellthetales.com/uploads/2/9/1/5/2915873/567288a3c6.jpg	(from http://tellthetales.com/)
10:41:34	12845/12845	---M--	200	added ('OK')	image/jpeg	etag:%22322d-4ea882f6cd15c%22	http://tellthetales.com/uploads/2/9/1/5/2915873/7017202.jpg?1383767816	./site/tellthetales.com/uploads/2/9/1/5/2915873/70172028ae4.jpg	(from http://tellthetales.com/)
10:41:35	9691/9691	---M--	200	added ('OK')	image/jpeg	etag:%2225db-4ea882f6a7780%22	http://tellthetales.com/uploads/2/9/1/5/2915873/786391.jpg?164	./site/tellthetales.com/uploads/2/9/1/5/2915873/786391fa7c.jpg	(from http://tellthetales.com/)
10:41:35	3726/3726	---M--	200	added ('OK')	text/css	etag:%22e8e-510a52cebf184%22	http://tellthetales.com/files/main_style.css?1425676293	./site/tellthetales.com/files/main_stylefde1.css	(from http://tellthetales.com/)
10:41:39	36989/36989	---M--	200	added ('OK')	image/jpeg	etag:%22907d-4ea882f61c8ed%22	http://tellthetales.com/uploads/2/9/1/5/2915873/5386616.jpg?188	./site/tellthetales.com/uploads/2/9/1/5/2915873/53866169dcb.jpg	(from http://tellthetales.com/)
10:41:39	12604/12604	---M--	200	added ('OK')	text/html	etag:%22313c-510a52cf75bc0%22	http://tellthetales.com/index.html	./site/tellthetales.com/index-2.html	(from http://tellthetales.com/)
10:41:40	8516/8516	---M--	200	added ('OK')	text/html	etag:%222144-510a52cf8cea5%22	http://tellthetales.com/portfolio.html	./site/tellthetales.com/portfolio.html	(from http://tellthetales.com/)
10:41:40	12109/12109	---M--	200	added ('OK')	text/html	etag:%222f4d-510a52cfa4d87%22	http://tellthetales.com/packages.html	./site/tellthetales.com/packages.html	(from http://tellthetales.com/)
10:41:41	10889/10889	---M--	200	added ('OK')	text/html	etag:%222a89-510a52cf816ef%22	http://tellthetales.com/my-tale.html	./site/tellthetales.com/my-tale.html	(from http://tellthetales.com/)
10:41:41	9924/9924	---M--	200	added ('OK')	text/html	etag:%2226c4-510a52cf6a03f%22	http://tellthetales.com/contact.html	./site/tellthetales.com/contact.html	(from http://tellthetales.com/)
10:41:41	10663/10663	---M--	200	added ('OK')	text/html	etag:%2229a7-510a52cf99221%22	http://tellthetales.com/darcy-johnson-photography.html	./site/tellthetales.com/darcy-johnson-photography.html	(from http://tellthetales.com/)
10:41:42	46187/46187	---M--	200	added ('OK')	image/jpeg	etag:%22b46b-4ea882f67db9e%22	http://tellthetales.com/uploads/2/9/1/5/2915873/1383765657.jpg	./site/tellthetales.com/uploads/2/9/1/5/2915873/1383765657.jpg	(from http://tellthetales.com/)
10:41:48	95256/95256	---M--	200	added ('OK')	image/jpeg	etag:%2217418-510a52d3a64f8%22	http://tellthetales.com/uploads/2/9/1/5/2915873/header_images/1425676192.jpg	./site/tellthetales.com/uploads/2/9/1/5/2915873/header_images/1425676192.jpg	(from http://tellthetales.com/)
